old_path,new_path,path_changed,sha256_before,sha256_after,file_hash_changed,change_reason
data/stations/fundacion_stations.geojson,data/stations/fundacion_stations.geojson,False,8e184172239402d1cd0754fce6ef47de005bf6730dee98fce4d80716bf2e9535,8ece01b4d7c3b1a2b6e6ed0a2c208629af26ab6a0068aa14b280f513ef43f03e,True,"Current identity labels, paths, metadata, workbook packaging, derived output or station pair-key digest; scientific values preserved."
data/field/field_etgage.csv,data/field/field_etgage.csv,False,66c8b924aa9d438735eaa9c347eeeb45d69a9cfc30f99729fbbb9096a0391e74,441b15394236c5c7bf2bda45c8db2cc6c3bad36f7281f2aaceee3ce2ba069436,True,"Current identity labels, paths, metadata, workbook packaging, derived output or station pair-key digest; scientific values preserved."
notebooks/field_validation_analysis.ipynb,notebooks/field_validation_analysis.ipynb,False,fee959dc39750c92b1c549b451a7c4dab32534bb22523f9432cbc97082118f2f,40f3faad4e519c192d0c3b9ae95b670b9b705c199f56d3ddae7c969c5e8c9187,True,"Station analysis migration and original CV reconciliation, followed by explicitly authorized cell 25 and three appended manuscript figure edits; current 30-cell notebook preserved byte-exact. Both reconciliation receipts retained."
outputs/evaluation/field_validation/analysis/analysis_provenance.json,outputs/evaluation/field_validation/analysis/analysis_provenance.json,False,8a5fec1f9a99cdf783478dd43b0af0167b81d2f3af95adc9c06a485ea475025b,6c643f573335e2e8f63a000326a928e4bc952e8355aff579277f7d13fa76854f,True,"Current identity labels, paths, metadata, workbook packaging, derived output or station pair-key digest; scientific values preserved."
outputs/evaluation/field_validation/analysis/common_validation_pairs.csv,outputs/evaluation/field_validation/analysis/common_validation_pairs.csv,False,bac2875f897cbbbae7583c77b542ad1d7f56415a972e160f069f71f348556790,846918f97c45b8797dc7779676bb9fb9774827d45a123837ade597a7588a5b9a,True,"Current identity labels, paths, metadata, workbook packaging, derived output or station pair-key digest; scientific values preserved."
outputs/evaluation/field_validation/analysis/field_data_overview.csv,outputs/evaluation/field_validation/analysis/field_data_overview.csv,False,d0ff153bfa762a987034ffb12069925d4e50e441f1df2330fb3538cbb4397bcd,dcf36809167f9084e7788ff7a7aa516f6299061257a96b5e3d02e65b16c67127,True,"Current identity labels, paths, metadata, workbook packaging, derived output or station pair-key digest; scientific values preserved."
outputs/evaluation/field_validation/analysis/field_proxy_vs_products.png,outputs/evaluation/field_validation/analysis/field_proxy_vs_products.png,False,485dad0880c7356542aace5bce41cb681a8153b949c05dedf2cbaa694e70915f,a81c67d7672bc3557042cb05acbac0d835ed93dda12de738ee9a93e34109ba5a,True,"Current identity labels, paths, metadata, workbook packaging, derived output or station pair-key digest; scientific values preserved."
outputs/evaluation/field_validation/analysis/figure_03_field_derived_et_by_land_cover.png,outputs/evaluation/field_validation/analysis/figure_03_field_derived_et_by_land_cover.png,False,1f19b0b957e460ff8670bd68997c70bd6ed7c2644668f6c9bad0ed77083f2e94,e625c6742a0223112e2ec5429f928d43625c349167ee472ab9f7602503ab9317,True,"Current identity labels, paths, metadata, workbook packaging, derived output or station pair-key digest; scientific values preserved."
outputs/evaluation/field_validation/analysis/figure_03_field_derived_et_by_land_cover_color.png,outputs/evaluation/field_validation/analysis/figure_03_field_derived_et_by_land_cover_color.png,False,b55e1f9a4f41f043363b66fd6a65ebbea226c329b587137ebf6195ccf02efed8,ab38900ed1c84148f1161f0cd5c4527615a484e40c0f95d57a4a60bbd554f7d0,True,"Current identity labels, paths, metadata, workbook packaging, derived output or station pair-key digest; scientific values preserved."
outputs/evaluation/field_validation/analysis/kc_sensitivity_changes.csv,outputs/evaluation/field_validation/analysis/kc_sensitivity_changes.csv,False,7b4e7192aec706a8827b23e2d9216d4fcc0cc63b79a449165389bcba65b40ffd,70c327ea29e2fd9ff461a06157bbe2f348026535f66c8cf166c4809fb0c5d581,True,"Current identity labels, paths, metadata, workbook packaging, derived output or station pair-key digest; scientific values preserved."
outputs/evaluation/field_validation/analysis/kc_sensitivity_metrics.csv,outputs/evaluation/field_validation/analysis/kc_sensitivity_metrics.csv,False,88fc95fc281602479ce10e095cb56af3b779844afdaff144242d83bf1b7e583a,cd3bf83f2404db1b94751db2b8152601a1475f255661aac91ce506b57f852330,True,"Current identity labels, paths, metadata, workbook packaging, derived output or station pair-key digest; scientific values preserved."
outputs/evaluation/field_validation/analysis/main_metrics.csv,outputs/evaluation/field_validation/analysis/main_metrics.csv,False,34c45f60489b713b0aae9d162b2568fdbe9be2a042356403fb31354a38438f0e,7777edb7e7f69040157963571fba008003d74e1fd755fde8056bd784b8d70480,True,"Current identity labels, paths, metadata, workbook packaging, derived output or station pair-key digest; scientific values preserved."
